CpG Position	Locus	F7cl15	F7cl4	CD	CE	2040 Fib	2040cl6	2042 Fib	2042cl1	2042cl9
Chr14:100809370	IG-DMR (CG4)	94.89028168	92.38249969	63.10099411	60.03310776	52.7624321	82.91650391	36.29572296	86.83908081	93.79611206
Chr14:100809375	IG-DMR (CG4)	97.33811188	88.83955383	62.62342834	60.2829895	53.00092316	83.59443665	38.65362167	85.00861359	94.39984894
Chr14:100809386	IG-DMR (CG4)	96.92614746	92.41313934	59.60299301	59.03609848	54.36180115	85.14719391	53.39768219	90.2817688	95.41152191
Chr14:100809388	IG-DMR (CG4)	96.95417786	92.36732483	66.8849411	60.13953018	53.6832428	83.03914642	43.62770462	87.66494751	96.20006561
Chr14:100809517	IG-DMR (CG4)	95.36110687	92.07486725	65.75820923	58.91808319	60.33210373	82.9028244	52.64107132	85.88710022	97.65701294
Chr14:100809538	IG-DMR (CG4)	98.2073822	91.74989319	67.20533752	62.94208527	60.81330872	88.10388184	52.7631073	84.68624115	93.76074982
Chr14:100809553	IG-DMR (CG4)	97.54754639	93.24488068	77.41851044	73.51937103	65.09259033	91.43034363	57.24413681	90.09786987	93.64710236
Chr14:100809612	IG-DMR (CG4)	93.29660034	83.35118866	67.71920776	60.30224609	39.96299744	74.07807922	27.35593605	53.31030655	52.16865158
Chr15:24954889	SNURF-SNRPN	33.01199722	39.09444427	29.74798012	36.26096344	23.00242043	36.1669693	31.25374413	21.37070274	40.62337112
Chr15:24954902	SNURF-SNRPN	33.98664856	38.77011108	31.0983429	35.94147873	23.46097946	35.63323975	31.74906731	22.49945259	40.9844017
Chr15:24954908	SNURF-SNRPN	33.72134399	40.00124359	36.02867126	37.41545486	27.08231926	36.8320694	36.74264145	25.39473724	42.13388824
Chr15:24954910	SNURF-SNRPN	33.62854004	39.98381424	35.86015701	38.38886642	26.78658295	38.66807175	37.52997208	25.70113945	42.48789597
Chr15:24954914	SNURF-SNRPN	33.30594254	39.27237701	35.68466568	37.89598083	26.7216301	37.65336609	35.40845108	25.34501648	42.38879395
Chr15:24954930	SNURF-SNRPN	33.79662704	39.68367767	35.3854599	37.95804977	26.99951553	38.13831329	36.07710266	25.68042183	41.69803619
Chr15:24954932	SNURF-SNRPN	33.56665802	39.6288681	35.42773438	38.35337067	26.71829605	38.96567154	35.80155945	25.1040535	41.65611267
Chr15:24954944	SNURF-SNRPN	34.32003403	39.96323776	35.30895996	38.19865036	26.56325722	39.09946823	35.15304184	24.96164894	41.61726761
Chr15:24954956	SNURF-SNRPN	33.52630234	40.41174698	35.8082695	38.90953064	26.43065071	38.89113617	36.42023849	25.19736862	42.94025421
Chr15:24954966	SNURF-SNRPN	33.69456482	40.49354935	34.86063385	39.15539551	26.5276432	39.27269363	36.71353531	25.48245621	43.94284058
Chr15:24954977	SNURF-SNRPN	32.74703217	39.1487236	34.01638412	37.29751205	25.82364273	37.06320572	35.46004486	24.5671711	41.97650528
Chr15:24954986	SNURF-SNRPN	33.40606689	40.05174255	35.69903946	40.0790596	26.85769844	39.51462173	36.55638504	25.90480423	42.24526978
Chr15:24954998	SNURF-SNRPN	34.21590042	39.91955566	33.15035248	38.31797409	25.79075432	36.87366104	35.80659866	24.12886238	43.79597473
Chr15:24955002	SNURF-SNRPN	33.56628418	39.28660583	33.26672363	38.00186157	25.2789917	37.75933456	34.9694252	23.88486099	42.1811409
Chr15:24955005	SNURF-SNRPN	33.56743622	40.23945236	35.43274689	38.92175293	26.33365631	39.06415558	36.98706055	25.65284157	42.54071426
Chr15:24955018	SNURF-SNRPN	33.13863754	39.04233551	33.4925499	36.19448853	24.70873833	38.19018555	33.34563446	23.29097366	40.18377304
Chr15:24955035	SNURF-SNRPN	34.13785553	40.22888184	35.50218201	39.72596359	27.40524864	39.5904808	35.63518143	24.84622192	42.75573349
Chr15:24955045	SNURF-SNRPN	34.02009964	40.42878723	34.86462402	39.23675919	26.10597992	37.88655853	34.8514595	24.27568054	43.13857269
Chr15:24955047	SNURF-SNRPN	34.15763474	40.47678375	35.84502029	39.48386765	26.21359253	37.87293625	36.65813065	25.02194977	42.2372551
Chr15:24955055	SNURF-SNRPN	34.22252655	40.3870163	35.53488922	39.93423843	26.78658295	38.85147476	36.05618286	25.21395683	41.02295685
Chr15:24955074	SNURF-SNRPN	34.21638489	40.62948227	34.04294586	39.6722908	25.43689346	38.65751266	34.27370834	23.2456131	41.913414
Chr19:56837540	PEG3	89.10895538	88.83092499	84.60848236	84.78557587	47.20394897	88.12566376	34.11082077	43.83081818	56.58863068
Chr19:56837544	PEG3	92.03934479	90.70209503	90.52080536	86.97782135	49.91790009	90.77303314	40.7722435	44.9380722	55.49480057
Chr19:56837551	PEG3	90.8677597	87.0848465	91.34984589	87.28659821	44.04272842	88.11134338	30.76922989	41.88861847	55.34550858
Chr19:56837567	PEG3	34.34564209	37.81953812	18.23297882	17.22396278	9.934318542	29.41397476	11.40437222	6.135629654	4.80275774
Chr19:56837588	PEG3	58.3071022	68.20209503	61.27150345	57.94156265	33.30578613	62.43028259	33.63951492	25.04718208	26.02280807
Chr19:56837608	PEG3	75.71878052	79.65100098	80.85986328	73.89744568	40.625	83.6839447	33.43183517	36.93135834	44.12891388
Chr19:56837623	PEG3	88.3922348	89.0499115	85.92089844	83.9682312	46.6171608	90.72966003	34.86013794	43.94388962	54.47852707
Chr19:56837645	PEG3	95.83843231	91.3150177	88.92876434	93.14196014	51.85185242	93.96273804	42.77350998	46.63616943	55.91007614
Chr19:56837658	PEG3	94.82155609	94.83802032	90.86965179	92.06469727	50.24711609	97.59092712	40.1745491	48.18108368	60.43854904
Chr19:56837660	PEG3	96.44091034	95.50639343	96.31697083	94.31559753	49.67105103	96.49568176	39.68919754	47.86002731	60.17631149
